#At time x process y state arr w total z remain y wait k
At time 45 Process 6 resumed arr 1 total 12 remain 9 wait 41
At time 46 Process 6 stopped arr 1 total 12 remain 8 wait 41
At time 46 Process 9 resumed arr 1 total 14 remain 9 wait 40
At time 47 Process 9 stopped arr 1 total 14 remain 8 wait 40
At time 47 Process 10 resumed arr 1 total 10 remain 5 wait 41
At time 48 Process 10 stopped arr 1 total 10 remain 4 wait 41
At time 48 Process 6 resumed arr 1 total 12 remain 8 wait 43
At time 49 Process 6 stopped arr 1 total 12 remain 7 wait 43
At time 49 Process 6 resumed arr 1 total 12 remain 10 wait 46
At time 50 Process 6 stopped arr 1 total 12 remain 9 wait 46
At time 50 Process 6 resumed arr 1 total 12 remain 8 wait 45
At time 51 Process 6 stopped arr 1 total 12 remain 7 wait 45
At time 51 Process 9 resumed arr 1 total 14 remain 8 wait 44
At time 52 Process 9 stopped arr 1 total 14 remain 7 wait 44
At time 52 Process 10 resumed arr 1 total 10 remain 4 wait 45
At time 53 Process 10 stopped arr 1 total 10 remain 3 wait 45
At time 53 Process 6 resumed arr 1 total 12 remain 7 wait 47
